City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
226,Bonthe,96,SL,1587212164,65,7.53,-12.51,86.54,10.07
227,Iqaluit,40,CA,1587212164,70,63.75,-68.51,0.0,4.7
228,Tuatapere,88,NZ,1587212164,91,-46.13,167.68,48.99,7.0
229,Marsh Harbour,18,BS,1587212164,83,26.54,-77.06,77.29,14.94
230,Mount Isa,50,AU,1587212164,26,-20.73,139.5,82.4,10.29
231,Ligayan,58,PH,1587212164,73,4.65,119.47,84.79,6.55
232,Kiryat Gat,0,IL,1587212165,67,31.61,34.76,78.01,4.0
233,Porto-Novo,40,BJ,1587212165,75,6.5,2.6,89.6,13.87
234,Kholm,100,RU,1587212165,68,59.27,32.85,40.62,9.62
235,Nyurba,100,RU,1587212165,93,63.28,118.33,12.65,4.79
236,Mayo,90,US,1587212165,87,38.89,-76.51,48.99,3.31
237,Masvingo,55,ZW,1587212165,40,-20.06,30.83,77.95,11.7
238,Safaga,100,EG,1587212165,26,26.73,33.94,82.4,8.05
239,Nantucket,90,US,1587212166,86,41.28,-70.1,41.0,19.46
240,Pisco,49,PE,1587212166,82,-13.7,-76.22,66.2,8.05
241,Riofrío,40,CO,1587212166,100,4.16,-76.29,68.0,2.24
242,Sydney,20,AU,1587212057,72,-33.87,151.21,62.6,5.82
243,Gourcy,76,BF,1587212166,17,13.22,-2.35,103.53,9.48
244,Nizhniy Kuranakh,100,RU,1587211925,87,58.84,125.49,12.78,3.04
245,Provideniya,100,RU,1587212167,95,64.38,-173.3,22.17,21.45
246,Codrington,91,AU,1587212167,71,-38.27,141.97,55.62,4.07
247,Ati,43,TD,1587212168,5,13.22,18.34,105.6,9.95
248,Olinda,20,BR,1587212168,83,-8.01,-34.86,82.4,4.7
249,Salalah,20,OM,1587212042,62,17.02,54.09,87.8,11.41
250,Methven,45,NZ,1587212168,91,-43.63,171.65,50.0,3.0
251,Gushikawa,1,JP,1587212168,73,26.35,127.87,77.0,7.25
252,Seoul,1,KR,1587212168,62,37.57,126.98,59.0,3.36
